car,price,body,mileage,engType,registration,year,years since
Lexus,14999,crossover,141,Gas,yes,2004,12
Peugeot,6799,other,126,Diesel,yes,2009,7
Mercedes-Benz,3800,van,462,Diesel,no,2001,15
Ford,11400,sedan,58,Petrol,yes,2013,3
Mercedes-Benz,18000,sedan,99,Petrol,yes,2008,8
BMW,38888,vagon,5,Other,yes,2015,1
Volkswagen,16500,sedan,87,Other,yes,2012,4
Honda,2900,sedan,290,Petrol,yes,1988,28
BMW,6950,sedan,320,Gas,yes,1997,19
Subaru,10000,vagon,165,Gas,yes,2007,9
VAZ,2300,sedan,121,Gas,yes,2006,10
Honda,12500,other,112,Petrol,yes,2008,8
Hyundai,12356.175,sedan,1,Petrol,yes,2015,1
Mitsubishi,22711.65,crossover,1,Petrol,yes,2016,0
Lexus,123000,crossover,1,Diesel,yes,2016,0
Skoda,9025,vagon,137,Diesel,yes,2011,5
Nissan,26220.285,crossover,1,Petrol,yes,2015,1
Hyundai,15246.075,sedan,1,Petrol,yes,2016,0
Toyota,13621.4325,sedan,0,Petrol,yes,2015,1
Volkswagen,10750,van,176,Diesel,yes,2012,4
Skoda,11670.75,hatch,1,Petrol,yes,2015,1
Ford,15505.425,hatch,1,Petrol,yes,2015,1
Skoda,8000,sedan,150,Petrol,yes,2004,12
Volkswagen,29999,other,129,Diesel,yes,2014,2
Volkswagen,12900,vagon,145,Diesel,yes,2011,5
VAZ,850,sedan,50,Petrol,yes,1986,30
Skoda,16700,sedan,98,Gas,yes,2011,5
Chevrolet,19000,crossover,124,Gas,yes,2012,4
Volkswagen,17400,sedan,73,Petrol,yes,2012,4
Honda,18000,sedan,116,Gas,yes,2011,5
Kia,7600,sedan,136,Petrol,yes,2009,7
Volkswagen,9999,van,165,Diesel,yes,2012,4
Mercedes-Benz,10600,van,250,Diesel,yes,2006,10
VAZ,1400,sedan,100,Gas,yes,1990,26
Volkswagen,9600,van,255,Diesel,yes,2004,12
Volkswagen,5900,van,278,Diesel,yes,2005,11
Skoda,7200,sedan,242,Petrol,yes,2007,9
Nissan,18999,hatch,8,Other,yes,2013,3
Volvo,20000,crossover,215,Petrol,yes,2008,8
Mercedes-Benz,12500,sedan,208,Diesel,yes,2004,12
Hyundai,5500,hatch,135,Petrol,yes,2005,11
Kia,8800,vagon,155,Gas,yes,2007,9
Opel,4999,van,202,Gas,yes,2007,9
Peugeot,17598.75,vagon,0,Diesel,yes,2016,0
BMW,7200,sedan,255,Petrol,yes,1998,18
Mercedes-Benz,0,sedan,300,Petrol,yes,2002,14
BMW,3099,sedan,320,Diesel,no,2000,16
Hyundai,6750,crossover,178,Diesel,no,2006,10
Volkswagen,16999,sedan,105,Petrol,yes,2011,5
BMW,8899,sedan,170,Petrol,yes,2001,15
Mercedes-Benz,12800,other,260,Diesel,yes,2005,11
Mercedes-Benz,29900,other,71,Petrol,yes,2007,9
Nissan,13600,crossover,138,Petrol,yes,2008,8
Mitsubishi,11700,sedan,82,Gas,yes,2010,6
Mercedes-Benz,15000,crossover,185,Gas,yes,2005,11
Mercedes-Benz,21200,vagon,206,Diesel,yes,2011,5
Peugeot,12800,hatch,56,Diesel,yes,2013,3
Infiniti,50695.515,crossover,1,Petrol,yes,2015,1
Infiniti,35162.3025,sedan,1,Petrol,yes,2014,2
Infiniti,46022.028,crossover,1,Petrol,yes,2015,1
Toyota,35500,crossover,85,Diesel,yes,2012,4
Opel,1850,hatch,255,Petrol,no,2002,14
Land Rover,45000,crossover,80,Petrol,yes,2010,6
Renault,11500,vagon,170,Diesel,yes,2012,4
Audi,51500,crossover,27,Diesel,yes,2013,3
Mitsubishi,11900,crossover,129,Diesel,yes,2007,9
Subaru,8700,sedan,150,Petrol,yes,2006,10
Jeep,9500,other,257,Diesel,yes,1997,19
Nissan,21900,crossover,30,Petrol,yes,2015,1
Skoda,12800,sedan,135,Petrol,yes,2011,5
Renault,8700,hatch,100,Diesel,yes,2010,6
Skoda,20700,hatch,71,Petrol,yes,2014,2
Volkswagen,20500,hatch,56,Diesel,yes,2014,2
Renault,6500,van,186,Diesel,yes,2012,4
Nissan,15800,crossover,56,Petrol,yes,2012,4
Dacia,2700,hatch,138,Petrol,yes,2004,12
Volkswagen,6000,van,180,Diesel,yes,2008,8
Volkswagen,10000,van,71,Petrol,yes,2013,3
Nissan,6999,sedan,85,Petrol,yes,2009,7
Renault,11999,hatch,65,Diesel,yes,2014,2
Volkswagen,13999,crossover,150,Diesel,yes,2005,11
Mitsubishi,14500,crossover,90,Petrol,yes,2008,8
Lexus,16700,sedan,125,Other,yes,2007,9
Volkswagen,11200,crossover,1,Petrol,yes,2004,12
Mercedes-Benz,6100,sedan,280,Gas,yes,1999,17
Volkswagen,9000,sedan,51,Petrol,yes,2013,3
Daewoo,4500,hatch,38,Petrol,yes,2013,3
Mitsubishi,15999,crossover,149,Gas,yes,2008,8
Volkswagen,15500,crossover,167,Petrol,yes,2006,10
Toyota,9150,hatch,87,Petrol,yes,2008,8
Daewoo,0,hatch,130,Petrol,yes,2008,8
Daewoo,3999,sedan,107,Gas,yes,2008,8
Porsche,29900,other,31,Petrol,yes,2007,9
Porsche,115000,other,7,Petrol,yes,2013,3
Maserati,110000,other,11,Petrol,yes,2014,2
Toyota,21500,crossover,89,Petrol,yes,2012,4
Mitsubishi,12000,crossover,130,Gas,yes,2007,9
Lexus,20300,crossover,128,Gas,yes,2007,9
Skoda,20500,sedan,0,Petrol,yes,2016,0
Toyota,12900,sedan,137,Petrol,yes,2008,8
Audi,33500,sedan,42,Petrol,yes,2013,3
Skoda,23000,sedan,0,Petrol,yes,2016,0
Skoda,22000,sedan,0,Petrol,yes,2016,0
Renault,0,other,179,Diesel,yes,2011,5
Hyundai,8000,sedan,98,Petrol,yes,2011,5
Chrysler,13700,other,130,Petrol,yes,2005,11
Chevrolet,10200,sedan,118,Petrol,yes,2011,5
Audi,36500,crossover,115,Diesel,yes,2010,6
BMW,34400,crossover,37,Diesel,yes,2013,3
Renault,5600,vagon,151,Diesel,yes,2006,10
Lexus,21000,crossover,180,Gas,yes,2006,10
Daewoo,3750,hatch,160,Gas,yes,2003,13
Skoda,13750,vagon,155,Diesel,yes,2012,4
Audi,35500,crossover,130,Diesel,yes,2010,6
Opel,4500,van,315,Diesel,yes,2003,13
Opel,3300,sedan,280,Petrol,yes,1989,27
Skoda,7550,sedan,114,Petrol,yes,2007,9
Daewoo,4700,sedan,452,Gas,yes,2012,4
BMW,34500,other,160,Diesel,yes,2011,5
BMW,14600,sedan,116,Diesel,yes,2004,12
Audi,3300,vagon,300,Diesel,no,1999,17
Ford,7300,hatch,131,Petrol,yes,2010,6
Mitsubishi,8350,sedan,98,Petrol,yes,2010,6
Volkswagen,18900,sedan,75,Petrol,yes,2011,5
Audi,9800,vagon,257,Diesel,yes,2003,13
Audi,9600,vagon,230,Diesel,yes,2004,12
Mercedes-Benz,15900,sedan,216,Petrol,yes,2007,9
Honda,5700,sedan,200,Gas,yes,2002,14
Volkswagen,9400,vagon,176,Diesel,yes,2005,11
Mercedes-Benz,0,sedan,322,Diesel,no,2000,16
Renault,5800,vagon,200,Diesel,yes,2008,8
Subaru,19900,crossover,140,Petrol,yes,2011,5
Volkswagen,10999,van,95,Diesel,yes,2012,4
Volkswagen,15200,van,132,Diesel,yes,2009,7
Opel,5500,van,287,Diesel,yes,2003,13
Renault,7500,van,43,Diesel,yes,2013,3
Renault,10950,vagon,180,Diesel,yes,2011,5
Volkswagen,8900,van,264,Diesel,yes,2003,13
Renault,11990,van,210,Diesel,yes,2010,6
Volkswagen,6550,sedan,150,Petrol,yes,2001,15
Volkswagen,15900,sedan,103,Petrol,yes,2012,4
Toyota,18999,crossover,153,Gas,yes,2006,10
Chevrolet,5800,sedan,145,Gas,yes,2008,8
Toyota,14100,sedan,113,Gas,yes,2009,7
Audi,19300,sedan,113,Petrol,yes,2009,7
Nissan,4300,sedan,152,Diesel,yes,1997,19
Toyota,68000,crossover,67,Diesel,yes,2012,4
BMW,4300,sedan,200,Diesel,no,2002,14
BMW,29000,sedan,170,Diesel,yes,2011,5
BMW,2900,vagon,230,Diesel,no,2001,15
Audi,9900,vagon,284,Diesel,yes,2004,12
BMW,10800,sedan,246,Diesel,yes,2003,13
BMW,10900,sedan,245,Diesel,yes,2003,13
Volkswagen,25900,hatch,35,Diesel,yes,2015,1
ZAZ,1900,hatch,189,Gas,yes,2004,12
Toyota,8800,sedan,300,Petrol,yes,2004,12
Mercedes-Benz,6800,van,242,Diesel,yes,1999,17
Hyundai,13900,sedan,75,Petrol,yes,2012,4
Toyota,13000,hatch,42,Petrol,yes,2013,3
Porsche,99999,crossover,1,Diesel,yes,2016,0
Audi,49700,crossover,80,Diesel,yes,2013,3
Ford,11950,sedan,53,Gas,yes,2013,3
Toyota,6400,sedan,250,Gas,yes,1998,18
BMW,49000,sedan,58,Other,yes,2011,5
Ford,23071.035,sedan,1,Petrol,yes,2015,1
Volkswagen,7950,van,144,Gas,yes,2012,4
Ford,6700,vagon,143,Gas,yes,2007,9
Volkswagen,20477.535,van,1,Diesel,yes,2015,1
Volkswagen,7500,van,280,Diesel,yes,2011,5
Volvo,26500,crossover,164,Diesel,yes,2011,5
Toyota,28900,crossover,83,Gas,yes,2012,4
Volkswagen,9900,van,230,Diesel,yes,2008,8
Smart,4300,other,108,Petrol,yes,2002,14
Volkswagen,6200,sedan,161,Gas,no,2004,12
Volkswagen,7900,other,123,Petrol,yes,2008,8
Lexus,15000,crossover,250,Gas,yes,2003,13
Nissan,27000,van,14,Diesel,yes,2015,1
Mercedes-Benz,18300,sedan,155,Petrol,yes,2007,9
Infiniti,40700,crossover,34,Petrol,yes,2013,3
Skoda,10300,sedan,185,Gas,yes,2007,9
Volkswagen,8900,sedan,185,Petrol,yes,2007,9
Hyundai,0,crossover,39,Diesel,yes,2012,4
Skoda,7100,sedan,157,Petrol,yes,2006,10
Volkswagen,15880,vagon,139,Gas,yes,2011,5
Volkswagen,19300,sedan,136,Diesel,yes,2011,5
BMW,46000,sedan,5,Petrol,yes,2016,0
BMW,37000,sedan,95,Petrol,yes,2011,5
Porsche,19100,crossover,211,Petrol,yes,2006,10
Renault,6300,van,180,Diesel,yes,2012,4
Volkswagen,9000,other,212,Gas,yes,2007,9
VAZ,4300,hatch,137,Gas,yes,2010,6
Peugeot,6900,hatch,132,Gas,yes,2010,6
Toyota,13300,sedan,152,Petrol,yes,2009,7
Mercedes-Benz,11900,van,277,Diesel,yes,2007,9
Volkswagen,12800,van,230,Diesel,yes,2011,5
Volkswagen,8400,sedan,230,Gas,yes,2003,13
Volkswagen,7500,sedan,240,Petrol,yes,2002,14
Dodge,19000,other,95,Other,yes,2007,9
Chevrolet,7800,sedan,163,Gas,yes,2008,8
Mercedes-Benz,10999,other,185,Diesel,yes,2005,11
BMW,47000,other,5,Petrol,yes,2014,2
Skoda,7850,hatch,44,Petrol,yes,2012,4
Skoda,7600,vagon,119,Other,yes,2008,8
Renault,14200,crossover,83,Diesel,yes,2012,4
Hyundai,14300,crossover,127,Gas,yes,2008,8
Audi,7000,vagon,210,Diesel,no,2006,10
Skoda,5400,vagon,220,Petrol,yes,2004,12
Nissan,7400,sedan,142,Gas,yes,2010,6
Audi,18300,vagon,190,Diesel,yes,2011,5
Skoda,15200,sedan,98,Petrol,yes,2011,5
ZAZ,6300,hatch,41,Petrol,yes,2012,4
Opel,4700,van,260,Diesel,yes,2010,6
Hyundai,11900,crossover,133,Diesel,yes,2008,8
Volkswagen,10999,van,110,Diesel,yes,2012,4
Jaguar,48720.75,sedan,0,Petrol,yes,2015,1
Volkswagen,12500,vagon,96,Petrol,yes,2010,6
Infiniti,50695.515,crossover,0,Petrol,yes,2015,1
Subaru,38800,crossover,0,Diesel,yes,2016,0
Renault,10000,other,214,Diesel,yes,2008,8
Infiniti,57756.8745,crossover,1,Diesel,yes,2016,0
Peugeot,12000,hatch,23,Petrol,yes,2012,4
Audi,27500,sedan,150,Petrol,yes,2013,3
Infiniti,93147.405,crossover,1,Petrol,yes,2016,0
Audi,3500,sedan,35,Gas,yes,1990,26
Volkswagen,8500,sedan,87,Petrol,yes,2011,5
Mercedes-Benz,12000,van,230,Diesel,yes,2008,8
Mercedes-Benz,39900,hatch,2,Other,yes,2015,1
Daewoo,3200,sedan,190,Petrol,yes,2001,15
Porsche,52000,crossover,88,Petrol,yes,2012,4
Volkswagen,74500,crossover,0,Diesel,yes,2015,1
Nissan,6300,sedan,216,Gas,yes,2004,12
Ford,9200,hatch,87,Petrol,yes,2010,6
Tesla,178500,crossover,0,Other,yes,2016,0
BYD,13999,crossover,14,Gas,yes,2013,3
Porsche,25000,crossover,130,Diesel,no,2012,4
Land Rover,119000,crossover,38,Diesel,yes,2013,3
Volkswagen,3300,sedan,250,Diesel,no,2000,16
Land Rover,24777,crossover,198,Gas,yes,2008,8
Honda,7899,sedan,170,Gas,yes,2005,11
BMW,4550,sedan,200,Petrol,no,1997,19
Audi,2700,sedan,234,Other,no,2000,16
Mazda,8600,sedan,134,Petrol,yes,2008,8
Nissan,14999,crossover,70,Petrol,yes,2010,6
ZAZ,1450,hatch,112,Petrol,yes,2003,13
Mazda,12150,sedan,105,Petrol,yes,2009,7
Peugeot,12900,van,94,Diesel,yes,2012,4
Kia,12599,hatch,91,Petrol,yes,2012,4
Hyundai,5950,hatch,98,Petrol,yes,2008,8
Hyundai,11999,hatch,42,Petrol,yes,2013,3
Lexus,14700,sedan,128,Petrol,yes,2006,10
Lexus,17200,crossover,212,Petrol,yes,2004,12
BMW,31800,sedan,115,Diesel,yes,2010,6
VAZ,4750,vagon,69,Gas,yes,2012,4
Mitsubishi,19800,crossover,67,Gas,yes,2013,3
Hyundai,14800,sedan,52,Petrol,yes,2012,4
Porsche,18300,crossover,110,Gas,yes,2006,10
Toyota,12700,sedan,130,Petrol,yes,2008,8
Renault,13900,crossover,111,Gas,yes,2010,6
Audi,26000,sedan,105,Petrol,yes,2012,4
Ford,7500,other,157,Diesel,yes,2008,8
ZAZ,1800,hatch,23,Petrol,yes,2009,7
Audi,9500,other,0,Other,yes,2003,13
Hyundai,11200,sedan,57,Gas,yes,2011,5
Skoda,16300,sedan,103,Petrol,yes,2012,4
Toyota,32000,sedan,22,Petrol,yes,2015,1
Volkswagen,29800,hatch,0,Diesel,yes,2015,1
Suzuki,3100,hatch,140,Gas,yes,1999,17
Volkswagen,27000,other,90,Diesel,yes,2014,2
Audi,5000,sedan,280,Gas,yes,1992,24
Porsche,22900,crossover,117,Petrol,yes,2007,9
Audi,9800,vagon,253,Diesel,yes,2002,14
Toyota,13400,sedan,125,Petrol,yes,2008,8
Volkswagen,20200,hatch,22,Petrol,yes,2014,2
Bentley,259000,sedan,0,Petrol,yes,2014,2
Audi,44800,crossover,95,Diesel,yes,2014,2
BMW,17100,crossover,188,Diesel,yes,2004,12
Daewoo,3250,sedan,180,Petrol,yes,2012,4
Volkswagen,6500,van,290,Diesel,yes,2004,12
Ford,5900,sedan,200,Petrol,yes,2001,15
Volkswagen,12500,sedan,118,Diesel,yes,2011,5
Renault,7400,van,181,Diesel,yes,2007,9
Nissan,14500,crossover,149,Other,yes,2010,6
Daewoo,4999,hatch,80,Petrol,yes,2013,3
Volkswagen,12500,van,207,Diesel,yes,2007,9
Volkswagen,9999,van,310,Diesel,yes,2007,9
Volkswagen,21900,van,166,Diesel,yes,2011,5
Volkswagen,22000,sedan,65,Petrol,yes,2012,4
Audi,22800,sedan,184,Diesel,yes,2010,6
Chrysler,12899,sedan,200,Petrol,yes,2007,9
Toyota,12500,sedan,140,Gas,yes,2007,9
BMW,15000,sedan,137,Petrol,yes,2004,12
Mercedes-Benz,3200,sedan,229,Diesel,no,2001,15
Volkswagen,20800,other,160,Diesel,yes,2012,4
Renault,9000,hatch,56,Petrol,yes,2011,5
Nissan,16300,crossover,43,Petrol,yes,2013,3
Honda,14500,sedan,123,Petrol,yes,2009,7
Ford,3400,van,250,Diesel,yes,1999,17
Toyota,21999,sedan,80,Other,yes,2012,4
Skoda,12999,sedan,69,Petrol,yes,2010,6
Audi,3500,sedan,200,Diesel,no,2001,15
Audi,6400,sedan,261,Gas,yes,2000,16
Volkswagen,15900,sedan,150,Diesel,yes,2012,4
Audi,4999,sedan,231,Diesel,no,2002,14
Chery,2600,hatch,110,Petrol,yes,2008,8
Smart,7450,hatch,72,Petrol,yes,2011,5
Daewoo,3950,sedan,127,Petrol,yes,2006,10
Renault,11200,vagon,165,Diesel,yes,2012,4
Renault,11100,vagon,155,Diesel,yes,2012,4
Opel,3850,sedan,184,Petrol,yes,1993,23
Chevrolet,5750,sedan,99,Petrol,yes,2009,7
Volkswagen,15500,sedan,178,Diesel,no,2013,3
Toyota,27800,sedan,157,Petrol,yes,2011,5
Volkswagen,10000,sedan,56,Petrol,no,2015,1
Nissan,10999,crossover,157,Diesel,yes,2008,8
Hyundai,12800,sedan,106,Petrol,yes,2012,4
Skoda,8400,sedan,122,Petrol,yes,2008,8
Mitsubishi,4950,sedan,256,Petrol,yes,1997,19
Renault,7200,van,73,Diesel,yes,2012,4
Mitsubishi,11300,crossover,128,Gas,yes,2008,8
Skoda,14900,hatch,710,Petrol,yes,2012,4
Fiat,5300,van,240,Diesel,yes,2006,10
Ford,7499,van,209,Diesel,yes,2009,7
Skoda,15500,sedan,98,Petrol,yes,2010,6
VAZ,2999,vagon,135,Petrol,yes,2006,10
Volkswagen,0,vagon,161,Petrol,yes,2011,5
Mazda,13200,sedan,122,Gas,yes,2009,7
Volkswagen,8000,van,350,Diesel,yes,2004,12
Bentley,85000,other,32,Petrol,yes,2009,7
Opel,2600,sedan,350,Diesel,no,1999,17
Seat,10950,vagon,145,Diesel,yes,2008,8
BMW,41000,crossover,80,Petrol,yes,2012,4
BMW,69999,crossover,0,Diesel,yes,2016,0
Nissan,16699,hatch,24,Other,yes,2013,3
Skoda,5100,hatch,161,Petrol,yes,2006,10
Mercedes-Benz,74999,crossover,1,Diesel,yes,2016,0
VAZ,3600,hatch,137,Petrol,yes,2005,11
Audi,3900,vagon,232,Diesel,no,2003,13
BMW,66666,crossover,0,Diesel,yes,2016,0
Infiniti,19500,other,98,Petrol,yes,2008,8
VAZ,1800,sedan,125,Petrol,yes,2000,16
Renault,7600,van,108,Diesel,yes,2013,3
Nissan,8200,hatch,144,Petrol,yes,2008,8
Audi,23500,crossover,116,Petrol,yes,2008,8
Audi,51000,crossover,44,Diesel,yes,2014,2
ZAZ,2350,hatch,41,Petrol,yes,2006,10
Kia,7499,sedan,193,Petrol,yes,2007,9
Hyundai,16000,crossover,55,Gas,yes,2012,4
Chevrolet,13300,hatch,77,Other,yes,2012,4
Volkswagen,2900,sedan,238,Gas,no,2002,14
Opel,6999,van,344,Diesel,yes,2008,8
VAZ,3850,sedan,80,Petrol,yes,2008,8
Hyundai,10500,crossover,106,Petrol,yes,2008,8
Volkswagen,22500,van,62,Diesel,yes,2011,5
Skoda,8200,hatch,72,Petrol,yes,2010,6
Ford,9300,hatch,182,Gas,yes,2011,5
BMW,12950,sedan,268,Diesel,yes,2004,12
BMW,56500,crossover,45,Diesel,yes,2014,2
Audi,9000,sedan,158,Gas,yes,2003,13
Volkswagen,17000,crossover,158,Diesel,yes,2007,9
Volkswagen,3700,sedan,195,Diesel,no,2001,15
Mercedes-Benz,23200,sedan,58,Petrol,yes,2010,6
Daewoo,3800,sedan,128,Gas,yes,2008,8
BMW,52000,crossover,7,Diesel,yes,2015,1
Skoda,12200,vagon,150,Petrol,yes,2012,4
Volkswagen,2499,sedan,220,Diesel,no,2004,12
Volkswagen,27200,crossover,1,Diesel,yes,2015,1
Porsche,18900,crossover,141,Petrol,yes,2005,11
Tesla,60000,sedan,5,Other,yes,2014,2
Opel,3800,sedan,335,Petrol,yes,1998,18
BMW,16300,crossover,258,Petrol,yes,2005,11
BMW,17500,sedan,102,Petrol,yes,2011,5
Fiat,7500,van,168,Diesel,yes,2011,5
BMW,6100,sedan,438,Gas,yes,1997,19
Opel,5100,sedan,190,Other,yes,1999,17
BMW,16500,crossover,230,Gas,yes,2004,12
Land Rover,19999,crossover,106,Gas,yes,2005,11
Seat,5900,hatch,157,Petrol,yes,2006,10
Kia,9900,sedan,127,Gas,yes,2008,8
ZAZ,4000,other,130,Petrol,yes,1961,55
Mercedes-Benz,29500,sedan,64,Petrol,yes,2013,3
BMW,15000,vagon,245,Gas,yes,2006,10
Mercedes-Benz,5850,van,240,Diesel,yes,2001,15
Tesla,139600,sedan,4,Other,yes,2015,1
Mercedes-Benz,47600,van,0,Diesel,yes,2016,0
Audi,13900,other,197,Diesel,yes,2006,10
Volkswagen,18600,sedan,2,Petrol,yes,2015,1
Mitsubishi,7300,sedan,121,Gas,yes,2008,8
Hyundai,6800,sedan,140,Diesel,yes,2008,8
Mercedes-Benz,4700,sedan,260,Diesel,no,2002,14
Volkswagen,5400,vagon,250,Petrol,yes,2003,13
Mazda,10700,sedan,148,Petrol,yes,2008,8
BMW,19999,crossover,227,Diesel,yes,2006,10
Volkswagen,7700,van,177,Diesel,yes,2008,8
Skoda,7000,sedan,160,Gas,yes,2003,13
Porsche,23500,crossover,97,Petrol,yes,2004,12
Land Rover,0,crossover,46,Diesel,yes,2014,2
Land Rover,89000,crossover,80,Petrol,yes,2013,3
Land Rover,46800,crossover,51,Other,yes,2013,3
Renault,2350,vagon,245,Diesel,no,2003,13
Toyota,10500,sedan,180,Petrol,yes,2007,9
Porsche,44500,crossover,115,Petrol,yes,2010,6
Hyundai,11500,van,183,Diesel,yes,2008,8
Toyota,30900,sedan,15,Petrol,yes,2015,1
Opel,10000,van,142,Diesel,yes,2011,5
Kia,11900,sedan,67,Petrol,yes,2011,5
Subaru,14750,crossover,86,Petrol,yes,2009,7
Bentley,499999,crossover,0,Petrol,yes,2016,0
Suzuki,9600,crossover,128,Petrol,yes,2006,10
Toyota,30950,other,45,Petrol,yes,2013,3
VAZ,5999,crossover,73,Petrol,yes,2007,9
Lexus,13800,crossover,150,Petrol,yes,2005,11
Mercedes-Benz,19200,sedan,173,Petrol,yes,2007,9
Volkswagen,15800,van,194,Diesel,yes,2012,4
Audi,30650,vagon,35,Petrol,yes,2013,3
Toyota,25000,crossover,80,Gas,yes,2008,8
Mercedes-Benz,5100,sedan,295,Diesel,yes,1994,22
Volkswagen,28500,sedan,50,Petrol,yes,2013,3
Opel,10800,other,206,Diesel,yes,2008,8
Mitsubishi,21500,crossover,47,Petrol,yes,2012,4
Volkswagen,12000,other,209,Diesel,yes,2006,10
Renault,17500,crossover,20,Diesel,yes,2016,0
Hyundai,7500,sedan,100,Petrol,yes,2007,9
Daewoo,5200,sedan,60,Gas,yes,2008,8
Volkswagen,3650,sedan,197,Petrol,yes,1996,20
Mitsubishi,17500,crossover,38,Petrol,yes,2012,4
Dodge,9500,crossover,220,Gas,yes,2000,16
Honda,15500,crossover,96,Petrol,yes,2009,7
Ford,29900,crossover,68,Diesel,yes,2015,1
Mercedes-Benz,0,van,0,Diesel,yes,2016,0
Skoda,0,vagon,95,Diesel,yes,2012,4
Opel,9900,sedan,109,Gas,yes,2009,7
Infiniti,40900,crossover,64,Diesel,yes,2014,2
Hyundai,11200,crossover,90,Gas,yes,2008,8
Lexus,25999,crossover,207,Gas,yes,2007,9
Ford,2200,sedan,500,Gas,yes,1993,23
Volkswagen,28713.75,hatch,0,Diesel,yes,2015,1
Volkswagen,13000,crossover,235,Gas,yes,2005,11
Audi,17500,sedan,94,Petrol,yes,2008,8
Nissan,8100,sedan,88,Petrol,yes,2012,4
Renault,7300,van,186,Diesel,yes,2010,6
Nissan,6200,sedan,170,Gas,yes,2005,11
ZAZ,2499,sedan,45,Gas,yes,2007,9
Volkswagen,11350,van,190,Diesel,yes,2011,5
Hyundai,7500,sedan,104,Petrol,yes,2010,6
BMW,28500,crossover,160,Gas,yes,2008,8
Citroen,8500,hatch,65,Petrol,yes,2012,4
Opel,2100,vagon,240,Gas,no,2001,15
Renault,12179,vagon,95,Diesel,yes,2012,4
Mercedes-Benz,35500,sedan,160,Petrol,yes,2008,8
Renault,12350,van,159,Diesel,yes,2010,6
Lexus,35000,crossover,33,Petrol,yes,2012,4
Renault,6000,van,162,Petrol,yes,2007,9
Mercedes-Benz,19600,vagon,127,Diesel,yes,2013,3
Lexus,47000,crossover,82,Petrol,yes,2009,7
Renault,8300,van,177,Diesel,yes,2007,9
Volkswagen,14500,van,168,Diesel,yes,2012,4
Volkswagen,7200,van,270,Diesel,yes,2008,8
Renault,9100,vagon,176,Diesel,yes,2011,5
Volkswagen,7900,van,229,Diesel,yes,2001,15
Renault,7000,vagon,231,Petrol,yes,2008,8
Ford,1050,sedan,160,Petrol,yes,1988,28
Mitsubishi,6000,hatch,118,Petrol,yes,2006,10
Volkswagen,2900,sedan,315,Gas,yes,1990,26
Opel,9700,other,175,Diesel,yes,2013,3
Nissan,7600,hatch,280,Petrol,yes,2007,9
Volkswagen,35800,crossover,92,Diesel,yes,2011,5
ZAZ,1000,hatch,150,Petrol,yes,2004,12
ZAZ,1800,hatch,150,Gas,yes,2004,12
Mercedes-Benz,26800,sedan,162,Petrol,yes,2007,9
Skoda,21500,sedan,64,Petrol,yes,2013,3
Renault,10850,crossover,103,Gas,yes,2010,6
Bentley,117000,sedan,830,Petrol,yes,2011,5
Mazda,15000,sedan,78,Petrol,yes,2010,6
Mazda,16000,sedan,47,Petrol,yes,2011,5
Mazda,7700,sedan,121,Petrol,yes,2007,9
Honda,9300,sedan,135,Other,yes,2008,8
Seat,9100,vagon,78,Diesel,yes,2013,3
Land Rover,39700,crossover,87,Petrol,yes,2010,6
Renault,8250,sedan,148,Other,yes,2011,5
Kia,14500,sedan,91,Petrol,yes,2013,3
Land Rover,84999,crossover,81,Petrol,yes,2013,3
Ford,1000,hatch,2,Petrol,yes,1985,31
Nissan,16800,crossover,52,Petrol,yes,2013,3
Kia,13460.265,hatch,1,Petrol,yes,2016,0
Nissan,16800,crossover,52,Petrol,yes,2013,3
Volkswagen,8800,van,240,Diesel,yes,2003,13
Mitsubishi,9500,crossover,150,Gas,yes,2007,9
Toyota,14500,other,82,Gas,yes,2007,9
Renault,11500,van,160,Diesel,yes,2010,6
Smart,3100,other,103,Petrol,yes,2000,16
Volkswagen,9000,van,181,Diesel,yes,2011,5
Toyota,12800,sedan,123,Petrol,yes,2007,9
Mercedes-Benz,10200,sedan,174,Gas,yes,2001,15
BMW,69999,crossover,1,Petrol,yes,2016,0
Mercedes-Benz,0,crossover,0,Petrol,yes,2016,0
Nissan,13300,crossover,87,Gas,yes,2011,5
BMW,42000,sedan,59,Petrol,yes,2009,7
Volkswagen,4400,hatch,238,Petrol,yes,1994,22
Toyota,18800,crossover,105,Gas,yes,2011,5
Honda,7500,other,165,Petrol,yes,2005,11
Mercedes-Benz,7300,van,207,Diesel,yes,2003,13
BMW,29999,other,73,Petrol,yes,2012,4
Volkswagen,17500,vagon,160,Petrol,yes,2011,5
Renault,9200,vagon,155,Diesel,yes,2010,6
Peugeot,4700,van,245,Diesel,yes,2006,10
Mercedes-Benz,3799,sedan,210,Petrol,yes,1995,21
BYD,12800,crossover,42,Gas,yes,2013,3
Ford,8599,van,150,Diesel,yes,2010,6
Volkswagen,21000,other,93,Diesel,yes,2012,4
Jeep,27500,crossover,250,Diesel,yes,2012,4
BMW,4800,sedan,11,Diesel,yes,1994,22
Suzuki,10500,crossover,92,Petrol,yes,2006,10
Volkswagen,7500,van,180,Diesel,yes,2004,12
Hyundai,21400,crossover,63,Diesel,yes,2012,4
Nissan,14200,hatch,23,Other,yes,2014,2
Nissan,11999,crossover,113,Gas,yes,2005,11
Seat,4200,sedan,300,Diesel,yes,1996,20
Mercedes-Benz,28000,other,12,Petrol,yes,2013,3
