,Comments,Ratings
86,"I received a surprise spa day here thanks to my wonderful husband.   I knew nothing about it before I showed up.  I had one of their packages which included massage, facial, and mani/pedi.  I had just had a massage the day before, and they were very accommodating, letting me swap out the massage for a body wrap. The body wrap was...interesting.  I've had several before.  Never before have I had to stand in a room while someone exfoliated me and then rubbed on the cream. All the body wraps I've done before have been done lying down in a wet room on a table that eventually gets soaked and dirty.  This place, it was done in a facial treatment room.  Alrighty.  After the cream was on, she then basically shrink wrapped me in plastic, and then comedy ensued when we tried to get me on bed for the facial.   But, once I was on the table, it was fine. Note - if you are at all claustrophobic, do not do the body wrap. The facial was fine.  It was relaxing.  It wasn't the greatest one I've had, her massage technique was not great.  It was fine. The mani/pedi was very disappointing.  While I waited (and waited), I kept hearing the person saying how behind she was, what a busy day it was.  I definitely would have guessed that given how rushed she was with me.  It was the fastest pedi I've ever had, no leg massage included...very odd for a fancy spa pedicure.  The manicure was also fast.  She didn't cut my cuticles, which I desperately needed.  When I asked her about it, she said they looked fine, didn't need trimming.  Well, I beg to differ, but I didn't push it since she was so rushed I didn't want to make things worse.  The polish job was fine, but I already see bubbles so I don't hold out hope it will last long. The place was very clean, the people were friendly, but I have to imagine there are better options in Denver.",2.0
87,"My five start rating is based only on my actual massage.  Jeff was my therapist and he was amazing!  I carry all my tension in my neck and shoulders and he was able to rub it all out.  However, the main reason I went in there today was because I had this pain in my ass, literally!  I don't know what I did but I couldn't sit, stand, or bend without this pain in my lower back down toward my leg.  Once he started to massage that area I could actually feel the muscle that I must have pulled being pushed around and back where it should be.  Immediately after the massage I can sit, stand, and bend with no pain.The rest of the staff was friendly, and yes they had a bible verse on the end table in the waiting area, but I didn't care, the massage was amazing!  I will be sure to go back next time I'm in Denver!",5.0
88,"Ask for Melissa. Talked about my sore areas, used the pressure I requested and did agreat job overall.",5.0
89,"This is the most unprofessional and worst experience I have ever received. My husband and I were trying to celebrate our 5th anniversary by having a relaxing experience at this ""spa."" If you want to have an extremely unprofessional, awkward, and unrelaxing day at a spa then this is the place for you. I had called this business at the beginning of the day yesterday and told the receptionist that my husband and I were wanting to come in together and get massages and body wraps together to try and have a relaxing day away from the kiddos and had told her about 6 times that we wanted to get the whole experience done together for our anniversary. I had even asked if they had a couples room to do this in and she told me that they did. When we arrived we filled out the paperwork that we needed to and waited to be taken back to our room. After using the restroom we were greeted at a single room by both the massage therapists. One of them said that they were going to have my husband go in the room and that the other was going to take me into a separate room. We then told them that we had told the receptionist that we wanted to do everything in the same room and they then told us to go wait in the lobby and they would get that ready. We should have known at this point to leave. If the receptionist could not understand what I made perfectly clear to her 6 times, she should not be working there. The receptionist and the owner then proceeded to tell us that they could put us in the same room for the massages, but that they would have to put us in separate rooms for the wraps. We then told them that the whole experience was supposed to be done together and that we were not going to do it otherwise. The owner then said that they could do everything in the same room, we would just be wrapped in the body wrap one at a time. Fair enough, we decided to give them the benefit of the doubt and proceed based on the fact that we were going to be able to relax and get everything done together in the same room. We then went into the couples room to get everything started. I have gotten dozens of massages and normal questions about if you are okay and about pressure during the massage are the norm, but that was not the case here. Instead what ended up happening is both the massage therapists talked amongst each other the entire time we were getting the massage. When they started talking to my husband and I about things other than the massage, such as drugs and their personal lives, we tried to casually respond to some of the nonsense that was coming out of their mouths. Not only was this massage not relaxing at all because of all the talking, but the actual massage suffered because whenever they would talk, they would stop massaging to talk. Not only that, but the areas that needed to be focused on didn't even get massaged because of all the chit chat. The massage therapists then talked amongst each other about how much longer the massage was supposed to be for 10 minutes and then proceeded to ask us when they had started massaging us. On top of all that, the therapist that was massaging me quite obviously had not brushed her teeth for the day because the whole time I was on my back I got to smell every word that came out of her mouth and there were far too many words. By the time that was over we were both glad they had exited the room. We were not relaxed, we were weirded out by all the weird things they had decided to discuss during the ""massage"" if it can even be called that. Also during the massage we heard some barking from a dog. Both of the massage therapists laughed and then proceeded to tell us that the owner has a therapy dog that she brings with her to work. I don't see anything wrong with having a therapy dog with you if that's what you need, but to have the dog in close enough proximity to be heard barking while you are trying to relax in a day spa environment? Things can't get any worse right? Wrong.",1.0
90,"Decor is nice, the people are nice.  Couple of reasons it does not get more than 3 stars- First, it stinks. The perfumey smell is overwhelming when you walk in and always makes my allergies kick in.  Second, I've had some problems with appointments- scheduling under the wrong name, wrong time, etc. Last- The parking stinks.  I do find my laser hair tech to be very nice and she seems to know her stuff.  I feel comfortable with her and the proceedures and I wasn't sure I would.  I believe I would go back, however, I will gow ith a groupon or living social deal as the prices do seem a bit high.",3.0
91,"I made appointments a week in advance for my husband and I to get mani pedis facials and massages for his 50th Birthday. The gal that answered Cosette answered so fast that should have been a clue that this is NOT a relaxing spa.  Then I got a text confirmation at 1:00 in the morning! Walking in I noticed it wasn't very clean. The front window needs washing, it's cloudy, full of bird poop and it's untidy inside. Then the gal working the desk informs me that one of us can't get a mani and pedi as a tech didn't show up. So my husband got a mani and pedi while I watched (it was his birthday) but the pedi chair didn't massage and the water was put in a thin plastic bucket instead of the nice jets. And the first flimsy bucket leaked, so she had to change it out. She gave me some excuse that throw away liners are for our benefit so we don't get germs.  The tech chomped on her gum the whole time. And then made a few comments about a coworker stressing her out. She clearly hates the other nail tech so I wonder if she is the reason they are short a nail tech. Another nail tech came in and she was very rude to her too. You could feel her disgust at her coworkers. She did say ""They just make me look good""  wow...not really and Not a relaxing place at all! Then we had massages and mine was good. But, they have you fill out a form and on a scale of 1-10 they ask how hard you want the massage. I chose a 3 because I have a bad shoulder and neck. However, my massage was at an 8. My husband didn't feel a thing from his massage and he clearly wished he'd had my therapist as his had no pressure and I ended up buying him another massage later in the week from somewhere else. I doubt they even read the damned survey.Then we went to have facials and I was never more disappointed. I have had many facials and they always use a machine and are very attentive the whole time. This was nothing more than a slathering of lotions by hand. No machine, and your hair full of oil...EVEN in our eyes (which I ended up with pink eye the next day and had to suffer with that for the next five days and it pretty much ruined our hard earned vacation) The tech was busy behind me, doing what I don't know for most of the facial and when I asked my husband he said the same happened to him. He'd never had a facial so he just thought that's what they do. No, this was a BIG WASTE OF MONEY!! and worse than that was a bummer for me to give this as a gift to my husband and get this awful service. Learn from my mistake.",1.0
92,Courtney got me in for a last minute therapeutic and saved me.  Very attentive and body aware. My pain was gone with one session. Thank you Courtney.,4.0
93,"I had a microdermabrasion by Maria and she was wonderful. She walked me through the process, told me what to expect with each step and warned me when a product might ""tingle"". I told her about my worry spots, and she was very thorough. After wards, my skin felt and looked amazing! This is second facial I've had from her and I loved it just the same as the first!On this particular visit I also had a massage by Elizabeth who was very professional but friendly. I communicated the tension in my upper back to her and felt like a new person when I left. She applied the perfect amount of pressure throughout the whole massage. In the past I've had massages from another therapist that works there, Ty. If you are in pain, this is your guy. He is very good at identifying the source of pain, professional,  thorough, and hands-down one of their very best therapists. He's committed to helping people heal who are in pain. The issues he's worked on for me have never returned. Highly recommend!",5.0
94,"Revamped and improved!! After buying a living social coupon here for laser I was getting more and more frustrated with the management, receptionist, and aestheticians but by my last 2 sessions the mess was sorted. Peggy the owner brought in Amy, a very experienced laser tech who knows her stuff. So much so that I bought another series. If you didn't like your initial experience there give them another shot! Well with it!",4.0
95,"MELISSA. Melissa Melissa. I get regular massages- mostly in NY but lately have gotten them allover the place and Melissa's one-hour massage was the absolute best I've ever had. She even went over time because I needed a little more work and didn't charge me any extra. Melissa can explain exactly what she is doing and was one of the kindest, strongest (like really strong) masseuses I've ever had. I can't wait to come back to Denver and see her again. She really understands the body and responds to your unique muscular system, seeing what your body wants rather than going through a stock routine of back, legs, etc. This woman has a gift and is passionate about helping people. Thank you Melissa!",5.0
96,"I was visiting from out of town and had a wonderful massage with Melissa, really first rate!  It was obvious she's a pro, with a background in medical massage.  I frequently get massages and would rank hers very high in comparison.  She is a lovely person, and I would highly recommend.",5.0
97,"$80 for an hour ?   I usually pay that much for someone with tons of experience and they work wonders so I was disappointed here.    The massage here was just okay at best  but not worth the price .    Honestly...  they seemed tired,  over worked and just out of steam.   They were nice, helpful and the place was clean very modern with a lot of services offered.  Although the table was too big for the room and had to be moved quite often during The massage I was able to relax.     Would have been okay for $40 for the hour sorta like a mall quality massage but at $80 plus tip I expect excellent massage technique and the right pressure threw out the massage.    I took one star off for the massage quality and (half if I could ) not doing the hot stone therapy I wrote in,   one for the price and I considered taking one off for being ten mins late but the way the therapist addressed the situation right away and apologized I felt like they do respect people's time and It happens to everyone. Tho I did have to rush to my next appointment.  I wouldn't repeat 2.5 stars",3.0
98,Very professional and polite. I was lucky to get a last minute appointment and Elizabeth was very good. I get several massages a year and I've already rescheduled for both my wife and me. Highly recommended.,5.0
99,"I love this place. I originally discovered Body Massage because I bought a groupon for laser hair removal but I have stayed for other services now for a couple of years. I decided to try Botox for the first time and I'm so glad I get it done here. Katie is so good and has a very subtle hand- she always errs on the side of subtlety and looking natural. The prices are good comparatively and the spa is beautiful aesthetically. The ladies who work the front desk are considerate and professional. Now my friend is a new customer and my sister will so be, as well! If you are considering trying a new spa, give a Body a Massage a try. I'm sure glad I did!",5.0
100,"Julia was exceptional ... very attentive to my aches and pains, and went above and beyond to make sure I was comfortable. I went in with compressed tissue in my neck and months of pain, and left feeling loose and relaxed. Best massage in recent history - perhaps ever. I can't recommend her, or the spa, enough.",5.0
101,"While visiting downtown Denver, I decided to get a massage and pedicure. The service was phenomenal at this day spa. Everyone was professional and very knowledgeable. Steve, the massage therapist, gave me a GREAT massage and then even spent time with me showing me exercises to improve this chronic shoulder problem I have had for MONTHS!Erica, the woman who did my nails, was very good as well. This was the best pedicure I have ever had! My feet are baby soft and the nail polish still looks amazing!The hostess asked me 3 times during my 3 hours of services if I wanted water or hot tea. It was really nice.Despite the cliche, I truly felt like a princess at this spa.",5.0
102,I have always received fantastic customer service here and I have never had a poor masseuse at this place.  This place is cheaper and BETTER than the high end spas in the downtown area!,5.0
103,I came in with super sore muscles all over my shoulders neck and back. Tiffany gave me the best massage of my life!! She was extra gentle and released every knot in my shoulders while always making sure I wasn't in any pain. I would definitely recommend her  to anyone coming in!,5.0
104,"No wonder they have had a banner offering 30% off hanging on their storefront for months.  Even at $12 for a manicure, I wouldn't go back into this place.  I went in on a Saturday afternoon. There were 4 employees and 2 customers.  The first problem was that only one of the employees spoke enough English to communicate with the customers. That made for very frustrated customers.  When I went to choose a nail color their selection of polish looked old and gross.  There were 3 or 4 bottle of old goopy Opi Polish and the a bunch of off brands that you might find in the clearance bin at Walgreens.  I left and went to my usual place and paid $15 for a great manicure and was happy I did!",1.0
105,"For deep tissue or trigger point therapy book an appointment with Julia, LMT at Body Massage Wellness Spa.  She is the best deep tissue specialists I've ever experienced.  Thank you thank you thank you Julia... I look forward to seeing you again this week!",5.0
106,"My girlfriend and I have gotten couples massages all over the nation, decided to try out this nice place on Welton St. Decided on a 90 minute, deep tissue couples massage. The place is extremely well kept, very friendly receptionists and amazing customer appreciation. We had Tiffany and Eric, they both exceeded are expectations by a mile. Perfect pressure, very knowledgable and friendly. They helped rid us both of any kinks, or pain that we had previously had. Amazing ambiance and atmosphere, will certainly be coming back often! Thanks Tiffany, Eric, and all of the employees you are fantastic !",5.0
107,"This spa was not what I was expecting.  I bought the ultimate package which included a 1-hour massage, 1-hour facial, pedicure and manicure.  The massage was great...I got the prenatal.  Although, the room set-up wasn't very relaxing, and the head holder wasn't attached very well so it made my neck hurt a little.  There were candles in the room, but none were lit, that would have helped too.  Moving on to the facial, it was alright...I have acne prone skin, and she did pop a few zits, but I thought she would go a little further.  The ceiling also had some water stains on it, which didn't help set the relaxing mood either.Of the 4 things, the facial and massage were my favorite.  The Pedicure....well, let's just say I'd have rather gone to one of those Nail Salons that charges $30!  I sat in a rocking chair, and put my feet in a bucket of water.....NOT AT ALL RELAXING!  They didn't get as detailed as the lower priced salons either, for example, they didn't scrape the dead skin off of my feet bottoms.Then finally there was the manicure...which I sat at a regular table chair across from the tech with about a foot of table between us.  I got the mani on Saturday, and it is Tuesday, and the tips of my fingers are already chipping.Bottom line, I paid $234 for the package, and a tip on top of that....it was not worth it.  I would go back for a massage, but that's it.  It was supposed to be a relaxing girls day out at the spa, and it was not at all.",2.0
108,"Let me preface this review by saying that if I could give zero stars, I would.As a recently converted shellac lover, as well as a deal lover, I jumped when CrowdSavings offered a $19 shellac manicure for this spa. I'm the maid of honor in my friend's wedding this weekend, so yesterday was the perfect time to use it. I booked my appointment a week in advance. When booking, the person never asked what kind of shellac manicure I wanted or if I currently had shellac on my nails. I arrived at my 2:00pm appointment at exactly 2:03pm (parking is a nightmare). I checked in and waited for another 5 minutes before the nail tech, Thuy, came to get me. As she was taking me to the room, she commented on my tardiness. Yes, I admitted I was 3 minutes late, but by making me wait, I'm now 8 minutes late. She told me to choose my color; I let her know that I wanted a French manicure. She rudely told me that I was supposed to have told the girl that when I made the appointment, and she wouldn't have time. I informed her that this was my first time at this spa, so I didn't know, and I wasn't asked. She also sighed heavily when she saw that I already had shellac on my nails. Apparently, I was supposed to have let the appointment girl know in advance. Like I said, this was my first time and I wasn't asked. If it's a huge deal, maybe they should ask these things when setting the appointment. The room was very quiet and relaxing; however, the serenity was lost as Thuy continued to sigh and passively berate me for my tardiness and the fact that she had to remove my old shellac (at one point, she even told me that I was making her late for her next appointment). I stopped at the front desk on my way out, to leave a tip (I may have gotten crappy service, but I always tip), and was told I would be charged ""like, $5"" for taking off the shellac. ""Like $5?"" Like is not an amount. I was so annoyed that I asked the girl if it was actually $5 or a different amount. I paid and got the hell out of there. If I didn't have the wedding this weekend and a coupon, I would have walked out at the first sign of trouble. Looking back, I should have. Pardon me for not being PC, but it looks like Helen Keller did my nails. There are bubbles and blemishes on at least three nails. The color is atrocious. I considered calling and complaining, but I do not want to deal with this place ever again. I don't want this person to berate me while she fixes this mess and I doubt I can get my money back on a coupon. The money I saved on the coupon will now be going elsewhere so someone better can fix my nails.",1.0
109,"Ask for Julia, she is really great and listens to what you want.  Say you are not from CO, there is a lot less paperwork that way.",5.0
110,Took my wife and daughter for what we thought would be a relaxing massage. The male therapist stood there staring at us and as soon as I was taken to the room he approached my wife getting on one knee taking her hand and being very flirtatious. My daughter was appalled by his behavior as the ladies behind the counter even commented not to mention my wife was made very uncomfortable by his actions. I notified the manager the next day and was told they would review the video tapes and apply it to their next employee training program. (hope its better than the current training) Expected professional behavior but felt my complaint was not taken serious at all.,1.0
111,I just started going to this spa for massages to aid physical therapy in repairing a shoulder injury. I have been seeing Jill.  She is excellent!  She has been giving me deep therapeutic massages that help very much with the pain. Jill is an exceptional massage therapist who knows how to treat customers well. She knows muscle groups so well that she knows where to treat me and the exact amount of pressure needed. Jill is helping me get well! I highly recommend both the spa and Jill.,5.0
112,"Booked with Elizabeth; impulse to receive a massage while waiting for my husband. It was excellent! The spa was inviting, relaxing and quiet! Very fair price for the services offered. I left, feeling great and grateful I found this spa and Elizabeth! See you soon.",5.0
113,"Well, I didn't love the pushy Christian ambiance in the waiting room of this place, but I have to say it's the longest lasting chip-free pedicure I've ever had. It is wearing like iron and survived 10 days of a barefoot-beach-walk-filled vacation in the PACNW. I finally chipped a nail after I stubbed my big toe into my concrete patio. It's November in Colorado...what am I doing walking around barefoot in my backyard anyway?",3.0
114,"Botox, Botox, the Best Botox! Katey is amazing and knows how to give you a refreshed look. I've been to multiple places in Denver but no one does a better job than Katey!! I drive downtown just to see her.",5.0
115,"By far the worst experience I have ever had at a spa. If you want to have an extremely unprofessional, awkward, and unrelaxing day at a spa then this is the place for you. I called and spoke with the receptionist to ask her about the facility and told her that my husband and I wanted to come in and celebrate our anniversary and that we wanted to be in the same room.  The receptionist told me that they had a couples room so we could do this, so I booked the appointment. She told me that my husband's massage therapist was going to do his massage and his wrap and that I would have a massage therapist for my massage and an esthetician doing my wrap. All of this still encompassing us being in the same room.  The problems began the moment we get there. They try to put us in separate rooms, then they offer for us to be in the same room for the massages, but not for the wraps. When we tell them that we had specifically told them we wanted to be together for the whole thing, the receptionist started arguing with me about it.  I told her 6 times that we wanted to be together in a couples room, if you cannot accommodate that, you shouldn't lie to someone to get them in the door and tell them that you can. Then, the owner says that we can be in the same room, we will just be wrapped in the body wrap one at a time.  Fair enough, we decided to continue based on the fact that we were going to get to relax in the same room as was specified to the receptionist.  Big mistake! I have gotten dozens of massages and the norm for talking is asking if the pressure is okay during the massage, other general questions are asked before you get the massage to ensure relaxation, that was not the case here.  Instead, both of our massage therapists decided to talk about drugs and their personal lives the whole entire massage.  I assume they were friends, talking about how one was more weird than the other and about just general weirdness. In order to be polite, we would casually respond to some of what they said so that maybe at least our massage would be good. That didn't happen either. When they would start talking, they would stop massaging and I guess my husband's massage therapist was so busy that she wasn't paying any attention at all because she was putting some much pressure on him that she bruised him. So, not only was the massage not relaxing, but we actually didn't even really receive the massage. Next, the wraps suffered because my husband's massage therapist went home and now the woman doing our wraps has to do us both.  What wasn't told to us at this point was that our wrap experience was going to suffer! Had someone told me that our time was going to be wasted due to their error, the massage was going to be terrible, then we were going to lose out on our foot reflexology massage (which is part of what you are paying for during the wrap), we NEVER would have came here. Instead the owner and her staff lied to us to convince us to spend $425 here. When we brought all of this to the attention of the owner she told us that the massage therapists shouldn't have talked during the massage and she offered a discount on our next massages. When we called the next day to explain that our whole experience suffered and that they wasted 2 hours of our time on their error and that it made us miss our anniversary dinner, she was extremely rude over the phone. She tried to give us the run around all day and after all of that, she offered us $16 of the $425 we spent! He then told her that we were going to make sure that everyone knew about our terrible experience and she immediately offered $108. My husband went in to speak to her because that didn't even cover the massages, let alone everything else that went wrong. He asked her if she would provide complimentary services to make the situation right and she said no. I guess she must have no faith that her staff can provide relaxing, adequate service. We will be advising our family, friends, and business contacts that are looking for a spa to go elsewhere. We advise anyone reading this to do the same. There are plenty of other businesses that will stand by their work, and if they make a mistake, they will fix it. The owner and her staff here DO NOT STAND BY THEIR WORK, and when something goes wrong, they try to avoid it and do nothing about it.",1.0
116,I love this place! The staff is friendly and the treatments are affordable. Dr. Irwin was very helpful when I was deciding if I should get Botox. She explained the Pros and Cons and how the procedure was done. She made me feel confident in my decision to take the plunge! And boy am I glad I did......I love my results and I will definitely continue treatment!!!,5.0
117,"I bought a Living Social laser package for 6 treatments. Although I scheduled my appts with the same technician I had 5 different technicians for 6 treatments. The first 3 were nice and professional. The fourth one was awful. She said the prior three technicians didn't know what they were doing, did the laser treatments incorrectly and if I wanted the treatments to actually make a difference I would need to buy at least 3 more treatments. On my final visit I had yet another technician who was nice but tried to up sell me with another $800 laser package. I feel like this place has a lot of inconsistencies and turnover. The parking is a nightmare but that's to be expected downtown. Even with another deal I wouldn't go back.",2.0
118,Julia is AMAZING!!!  I had bad lower back pain for 5 weeks and she fixed it in 60 minutes.  I'll be going back for sure!,5.0
119,"I just tried this place after walking past it a million times.  I finally got tired of my muscles and walking around like Igor.  I had Courtney, who was young and petite, but with very strong hands.  I took 15 minutes out of my day to only to walk out feeling brand new.  I don't know why I don't do this more often.  The price is even better - $15 for 15 minutes.  I tipped her $5.  You can't schedule a 15 min., only walk in, but if you call beforehand, they'll let you know what the schedule is like.  I agree with Shiho, not for wedding parties or anything truly spa-like, but for a 15 minute feel better massage, this place is awesome!  I am a bit biased, it is 1/2 a block from my work!",5.0
120,"I went in for waxing services, and while they are not quite as good as Wax in the City, I think it's not because of technique but because of product.  It's not their bread and butter work, the massages and spa services in general are, but was very adequate and they were able to fit me in with only a day's notice as opposed to a week's wait at Wax in the City.  Average downtown pricing, and because I was a new customer, they also gave me 10% off my first services!  Based on other reviews, I'll definitely amend mine...as I certainly plan on going back and indulging in a massage!",3.0
121,This is your average day spa with decent customer service and a plethora of services on the menu.  I wouldn't recommend this place for any wedding party services or for party favors for a Bachelorette Party but would def. recommend this place for those who enjoy a manny/peddy after work or a little massage to wind down.   Getting pampered definitely takes you to a peacful place but unfortunately Body Massage Center does not help yo get their with their atmostphere.,3.0
122,"This was my first 1 1/2hr massage and I loved it. I was in town for a conference and walked in. They had same day appointments which impressed me for such a nice place. My friends kind of poked fun at me since the shop had a few Bible quotes up, but a massage is a massage.  I had a female therapist who I think was named Chelsey. When I got up after the wonderful deep tissue massage I saw all this gray stuff on me and the bed. When I asked her about it she told me it was dead skin. I was so embarrassed, but I think it was pretty awesome that she dealt with my out-of-town dry skin. I give this place 4 stars because it was great service, but a little pricey.",4.0
123,"I went in to get Shellac done with Thuy.  She was very pleasant, I enjoyed chatting with her.  In doing my nails, she realized that 1 didn't dry very well, and even though she was completely done with all the rest, she still went back and redid that 1.  I definitely appreciate the attentiveness.  Overall though, the nail polish didn't cover the nail completely, didn't go all the way down to the skin, and a couple corners were sloppy.  I saw that she tried hard and may I'm just very picky with the way my nails look.  I'm happy with shellac, it's my first time trying it, but I wouldn't go back to this salon.",3.0
124,"This was my first time to this spa and i was very impressed. The receptionist was very friendly, welcoming and had a good sense of humor that lightened up a stressfull day. She reminded me of a girlfriend from college. N -E - way, I recieved a 90 min hot stone massage with Jeff and it was far and away the best massage I've had in years! Way better than the spa's I've been to in Beaver Creek and Vail. Im very glad I chose to come to Body Massage Wellness Spa, I will be seeing you all next month. Thank you again for a wonderful afternoon  :-)",5.0
125,"Love this place! Very nice ambiance and relaxing atmosphere! Staff was friendly and helpful! Megan gave me a top rated massage and much medical insight! When she was finished I moved immediately to a cute waiting area and soon after began a wonderful pedicure by Maria! She really worked hard on my calluses! She sold me on the Shellac manicure. I was a little leery at first, but I can now see that it truly is the 14 day manicure that she sold me! Will be going back soon!",5.0
