,car,price,body,mileage,engType,registration,year,years since
1105,BMW,3099.0,sedan,230,Diesel,no,2003,13
1106,Volkswagen,5000.0,van,326,Diesel,yes,1995,21
1111,Mercedes-Benz,40500.0,sedan,39,Diesel,yes,2015,1
1114,BMW,8300.0,sedan,200,Petrol,yes,2001,15
1117,BMW,2999.0,sedan,299,Diesel,no,2000,16
1118,Mercedes-Benz,17800.0,van,162,Diesel,yes,2012,4
1127,BMW,6100.0,sedan,266,Petrol,no,1997,19
1128,BMW,13900.0,sedan,262,Diesel,yes,2003,13
1134,Mercedes-Benz,6400.0,van,290,Diesel,yes,1999,17
1136,BMW,8500.0,sedan,365,Diesel,yes,2001,15
1141,Toyota,18100.0,hatch,30,Petrol,yes,2013,3
1144,BMW,21900.0,other,25,Petrol,yes,2007,9
1150,Volkswagen,47777.0,sedan,91,Diesel,yes,2012,4
1154,BMW,6300.0,sedan,241,Gas,yes,1995,21
1156,BMW,24000.0,crossover,108,Diesel,yes,2012,4
1159,Mercedes-Benz,31669.0,hatch,2,Other,yes,2015,1
1164,VAZ,3300.0,other,19,Other,yes,2007,9
1167,BMW,4500.0,sedan,370,Petrol,yes,1993,23
1172,Mercedes-Benz,29500.0,sedan,135,Petrol,yes,2008,8
1173,Volkswagen,72000.0,crossover,0,Diesel,yes,2016,0
1176,Volkswagen,18300.0,van,1,Diesel,yes,2013,3
1177,Volkswagen,19999.0,other,48,Diesel,yes,2012,4
1180,Toyota,24900.0,sedan,30,Petrol,yes,2014,2
1183,Mercedes-Benz,3100.0,vagon,400,Diesel,no,2002,14
1192,Mercedes-Benz,7650.0,sedan,340,Gas,yes,1997,19
1196,BMW,77777.0,sedan,8,Petrol,yes,2014,2
1203,BMW,7200.0,sedan,270,Diesel,no,2004,12
1204,Volkswagen,29600.0,sedan,11,Petrol,yes,2016,0
1207,Mercedes-Benz,3800.0,van,462,Diesel,no,2001,15
1209,Mercedes-Benz,18000.0,sedan,99,Petrol,yes,2008,8
1210,BMW,38888.0,vagon,5,Other,yes,2015,1
1211,Volkswagen,16500.0,sedan,87,Other,yes,2012,4
1213,BMW,6950.0,sedan,320,Gas,yes,1997,19
1215,VAZ,2300.0,sedan,121,Gas,yes,2006,10
1223,Toyota,13621.4325,sedan,0,Petrol,yes,2015,1
1224,Volkswagen,10750.0,van,176,Diesel,yes,2012,4
1228,Volkswagen,29999.0,other,129,Diesel,yes,2014,2
1229,Volkswagen,12900.0,vagon,145,Diesel,yes,2011,5
1230,VAZ,850.0,sedan,50,Petrol,yes,1986,30
1233,Volkswagen,17400.0,sedan,73,Petrol,yes,2012,4
1236,Volkswagen,9999.0,van,165,Diesel,yes,2012,4
1237,Mercedes-Benz,10600.0,van,250,Diesel,yes,2006,10
1238,VAZ,1400.0,sedan,100,Gas,yes,1990,26
1239,Volkswagen,9600.0,van,255,Diesel,yes,2004,12
1240,Volkswagen,5900.0,van,278,Diesel,yes,2005,11
1244,Mercedes-Benz,12500.0,sedan,208,Diesel,yes,2004,12
1249,BMW,7200.0,sedan,255,Petrol,yes,1998,18
1251,BMW,3099.0,sedan,320,Diesel,no,2000,16
1253,Volkswagen,16999.0,sedan,105,Petrol,yes,2011,5
1254,BMW,8899.0,sedan,170,Petrol,yes,2001,15
1255,Mercedes-Benz,12800.0,other,260,Diesel,yes,2005,11
1256,Mercedes-Benz,29900.0,other,71,Petrol,yes,2007,9
1259,Mercedes-Benz,15000.0,crossover,185,Gas,yes,2005,11
1260,Mercedes-Benz,21200.0,vagon,206,Diesel,yes,2011,5
1265,Toyota,35500.0,crossover,85,Diesel,yes,2012,4
1277,Volkswagen,20500.0,hatch,56,Diesel,yes,2014,2
1281,Volkswagen,6000.0,van,180,Diesel,yes,2008,8
1282,Volkswagen,10000.0,van,71,Petrol,yes,2013,3
1285,Volkswagen,13999.0,crossover,150,Diesel,yes,2005,11
1288,Volkswagen,11200.0,crossover,1,Petrol,yes,2004,12
1289,Mercedes-Benz,6100.0,sedan,280,Gas,yes,1999,17
1290,Volkswagen,9000.0,sedan,51,Petrol,yes,2013,3
1293,Volkswagen,15500.0,crossover,167,Petrol,yes,2006,10
1294,Toyota,9150.0,hatch,87,Petrol,yes,2008,8
1300,Toyota,21500.0,crossover,89,Petrol,yes,2012,4
1304,Toyota,12900.0,sedan,137,Petrol,yes,2008,8
1313,BMW,34400.0,crossover,37,Diesel,yes,2013,3
1323,BMW,34500.0,other,160,Diesel,yes,2011,5
1324,BMW,14600.0,sedan,116,Diesel,yes,2004,12
1328,Volkswagen,18900.0,sedan,75,Petrol,yes,2011,5
1331,Mercedes-Benz,15900.0,sedan,216,Petrol,yes,2007,9
1333,Volkswagen,9400.0,vagon,176,Diesel,yes,2005,11
1337,Volkswagen,10999.0,van,95,Diesel,yes,2012,4
1338,Volkswagen,15200.0,van,132,Diesel,yes,2009,7
1342,Volkswagen,8900.0,van,264,Diesel,yes,2003,13
1344,Volkswagen,6550.0,sedan,150,Petrol,yes,2001,15
1345,Volkswagen,15900.0,sedan,103,Petrol,yes,2012,4
1346,Toyota,18999.0,crossover,153,Gas,yes,2006,10
1348,Toyota,14100.0,sedan,113,Gas,yes,2009,7
1351,Toyota,68000.0,crossover,67,Diesel,yes,2012,4
1352,BMW,4300.0,sedan,200,Diesel,no,2002,14
1353,BMW,29000.0,sedan,170,Diesel,yes,2011,5
1354,BMW,2900.0,vagon,230,Diesel,no,2001,15
1356,BMW,10800.0,sedan,246,Diesel,yes,2003,13
1357,BMW,10900.0,sedan,245,Diesel,yes,2003,13
1358,Volkswagen,25900.0,hatch,35,Diesel,yes,2015,1
1360,Toyota,8800.0,sedan,300,Petrol,yes,2004,12
1361,Mercedes-Benz,6800.0,van,242,Diesel,yes,1999,17
1363,Toyota,13000.0,hatch,42,Petrol,yes,2013,3
1367,Toyota,6400.0,sedan,250,Gas,yes,1998,18
1368,BMW,49000.0,sedan,58,Other,yes,2011,5
1370,Volkswagen,7950.0,van,144,Gas,yes,2012,4
1372,Volkswagen,20477.535,van,1,Diesel,yes,2015,1
1373,Volkswagen,7500.0,van,280,Diesel,yes,2011,5
1375,Toyota,28900.0,crossover,83,Gas,yes,2012,4
1376,Volkswagen,9900.0,van,230,Diesel,yes,2008,8
1378,Volkswagen,6200.0,sedan,161,Gas,no,2004,12
1379,Volkswagen,7900.0,other,123,Petrol,yes,2008,8
1382,Mercedes-Benz,18300.0,sedan,155,Petrol,yes,2007,9
1385,Volkswagen,8900.0,sedan,185,Petrol,yes,2007,9
1388,Volkswagen,15880.0,vagon,139,Gas,yes,2011,5
1389,Volkswagen,19300.0,sedan,136,Diesel,yes,2011,5
1390,BMW,46000.0,sedan,5,Petrol,yes,2016,0
1391,BMW,37000.0,sedan,95,Petrol,yes,2011,5
1394,Volkswagen,9000.0,other,212,Gas,yes,2007,9
1395,VAZ,4300.0,hatch,137,Gas,yes,2010,6
1397,Toyota,13300.0,sedan,152,Petrol,yes,2009,7
1398,Mercedes-Benz,11900.0,van,277,Diesel,yes,2007,9
1399,Volkswagen,12800.0,van,230,Diesel,yes,2011,5
1400,Volkswagen,8400.0,sedan,230,Gas,yes,2003,13
1401,Volkswagen,7500.0,sedan,240,Petrol,yes,2002,14
1404,Mercedes-Benz,10999.0,other,185,Diesel,yes,2005,11
1405,BMW,47000.0,other,5,Petrol,yes,2014,2
1418,Volkswagen,10999.0,van,110,Diesel,yes,2012,4
1420,Volkswagen,12500.0,vagon,96,Petrol,yes,2010,6
1429,Volkswagen,8500.0,sedan,87,Petrol,yes,2011,5
1430,Mercedes-Benz,12000.0,van,230,Diesel,yes,2008,8
1431,Mercedes-Benz,39900.0,hatch,2,Other,yes,2015,1
1434,Volkswagen,74500.0,crossover,0,Diesel,yes,2015,1
1441,Volkswagen,3300.0,sedan,250,Diesel,no,2000,16
1444,BMW,4550.0,sedan,200,Petrol,no,1997,19
1456,BMW,31800.0,sedan,115,Diesel,yes,2010,6
1457,VAZ,4750.0,vagon,69,Gas,yes,2012,4
1461,Toyota,12700.0,sedan,130,Petrol,yes,2008,8
1469,Toyota,32000.0,sedan,22,Petrol,yes,2015,1
1470,Volkswagen,29800.0,hatch,0,Diesel,yes,2015,1
1472,Volkswagen,27000.0,other,90,Diesel,yes,2014,2
1476,Toyota,13400.0,sedan,125,Petrol,yes,2008,8
1477,Volkswagen,20200.0,hatch,22,Petrol,yes,2014,2
1480,BMW,17100.0,crossover,188,Diesel,yes,2004,12
1482,Volkswagen,6500.0,van,290,Diesel,yes,2004,12
1484,Volkswagen,12500.0,sedan,118,Diesel,yes,2011,5
1488,Volkswagen,12500.0,van,207,Diesel,yes,2007,9
1489,Volkswagen,9999.0,van,310,Diesel,yes,2007,9
1490,Volkswagen,21900.0,van,166,Diesel,yes,2011,5
1491,Volkswagen,22000.0,sedan,65,Petrol,yes,2012,4
1494,Toyota,12500.0,sedan,140,Gas,yes,2007,9
1495,BMW,15000.0,sedan,137,Petrol,yes,2004,12
1496,Mercedes-Benz,3200.0,sedan,229,Diesel,no,2001,15
1497,Volkswagen,20800.0,other,160,Diesel,yes,2012,4
1502,Toyota,21999.0,sedan,80,Other,yes,2012,4
1506,Volkswagen,15900.0,sedan,150,Diesel,yes,2012,4
1515,Volkswagen,15500.0,sedan,178,Diesel,no,2013,3
1516,Toyota,27800.0,sedan,157,Petrol,yes,2011,5
1517,Volkswagen,10000.0,sedan,56,Petrol,no,2015,1
1528,VAZ,2999.0,vagon,135,Petrol,yes,2006,10
1531,Volkswagen,8000.0,van,350,Diesel,yes,2004,12
1535,BMW,41000.0,crossover,80,Petrol,yes,2012,4
1536,BMW,69999.0,crossover,0,Diesel,yes,2016,0
1539,Mercedes-Benz,74999.0,crossover,1,Diesel,yes,2016,0
1540,VAZ,3600.0,hatch,137,Petrol,yes,2005,11
1542,BMW,66666.0,crossover,0,Diesel,yes,2016,0
1544,VAZ,1800.0,sedan,125,Petrol,yes,2000,16
1553,Volkswagen,2900.0,sedan,238,Gas,no,2002,14
1555,VAZ,3850.0,sedan,80,Petrol,yes,2008,8
1557,Volkswagen,22500.0,van,62,Diesel,yes,2011,5
1560,BMW,12950.0,sedan,268,Diesel,yes,2004,12
1561,BMW,56500.0,crossover,45,Diesel,yes,2014,2
1563,Volkswagen,17000.0,crossover,158,Diesel,yes,2007,9
1564,Volkswagen,3700.0,sedan,195,Diesel,no,2001,15
1565,Mercedes-Benz,23200.0,sedan,58,Petrol,yes,2010,6
1567,BMW,52000.0,crossover,7,Diesel,yes,2015,1
1569,Volkswagen,2499.0,sedan,220,Diesel,no,2004,12
1570,Volkswagen,27200.0,crossover,1,Diesel,yes,2015,1
1574,BMW,16300.0,crossover,258,Petrol,yes,2005,11
1575,BMW,17500.0,sedan,102,Petrol,yes,2011,5
1577,BMW,6100.0,sedan,438,Gas,yes,1997,19
1579,BMW,16500.0,crossover,230,Gas,yes,2004,12
1584,Mercedes-Benz,29500.0,sedan,64,Petrol,yes,2013,3
1585,BMW,15000.0,vagon,245,Gas,yes,2006,10
1586,Mercedes-Benz,5850.0,van,240,Diesel,yes,2001,15
1588,Mercedes-Benz,47600.0,van,0,Diesel,yes,2016,0
1590,Volkswagen,18600.0,sedan,2,Petrol,yes,2015,1
1593,Mercedes-Benz,4700.0,sedan,260,Diesel,no,2002,14
1594,Volkswagen,5400.0,vagon,250,Petrol,yes,2003,13
1596,BMW,19999.0,crossover,227,Diesel,yes,2006,10
1597,Volkswagen,7700.0,van,177,Diesel,yes,2008,8
1604,Toyota,10500.0,sedan,180,Petrol,yes,2007,9
1607,Toyota,30900.0,sedan,15,Petrol,yes,2015,1
1613,Toyota,30950.0,other,45,Petrol,yes,2013,3
1614,VAZ,5999.0,crossover,73,Petrol,yes,2007,9
1616,Mercedes-Benz,19200.0,sedan,173,Petrol,yes,2007,9
1617,Volkswagen,15800.0,van,194,Diesel,yes,2012,4
1619,Toyota,25000.0,crossover,80,Gas,yes,2008,8
1620,Mercedes-Benz,5100.0,sedan,295,Diesel,yes,1994,22
1621,Volkswagen,28500.0,sedan,50,Petrol,yes,2013,3
1624,Volkswagen,12000.0,other,209,Diesel,yes,2006,10
1628,Volkswagen,3650.0,sedan,197,Petrol,yes,1996,20
1640,Volkswagen,28713.75,hatch,0,Diesel,yes,2015,1
1641,Volkswagen,13000.0,crossover,235,Gas,yes,2005,11
1647,Volkswagen,11350.0,van,190,Diesel,yes,2011,5
1649,BMW,28500.0,crossover,160,Gas,yes,2008,8
1653,Mercedes-Benz,35500.0,sedan,160,Petrol,yes,2008,8
1657,Mercedes-Benz,19600.0,vagon,127,Diesel,yes,2013,3
1660,Volkswagen,14500.0,van,168,Diesel,yes,2012,4
1661,Volkswagen,7200.0,van,270,Diesel,yes,2008,8
1663,Volkswagen,7900.0,van,229,Diesel,yes,2001,15
1667,Volkswagen,2900.0,sedan,315,Gas,yes,1990,26
1670,Volkswagen,35800.0,crossover,92,Diesel,yes,2011,5
1673,Mercedes-Benz,26800.0,sedan,162,Petrol,yes,2007,9
1690,Volkswagen,8800.0,van,240,Diesel,yes,2003,13
1692,Toyota,14500.0,other,82,Gas,yes,2007,9
1695,Volkswagen,9000.0,van,181,Diesel,yes,2011,5
1696,Toyota,12800.0,sedan,123,Petrol,yes,2007,9
1697,Mercedes-Benz,10200.0,sedan,174,Gas,yes,2001,15
1698,BMW,69999.0,crossover,1,Petrol,yes,2016,0
1701,BMW,42000.0,sedan,59,Petrol,yes,2009,7
1702,Volkswagen,4400.0,hatch,238,Petrol,yes,1994,22
1703,Toyota,18800.0,crossover,105,Gas,yes,2011,5
1705,Mercedes-Benz,7300.0,van,207,Diesel,yes,2003,13
1706,BMW,29999.0,other,73,Petrol,yes,2012,4
1707,Volkswagen,17500.0,vagon,160,Petrol,yes,2011,5
1710,Mercedes-Benz,3799.0,sedan,210,Petrol,yes,1995,21
1713,Volkswagen,21000.0,other,93,Diesel,yes,2012,4
1715,BMW,4800.0,sedan,11,Diesel,yes,1994,22
1717,Volkswagen,7500.0,van,180,Diesel,yes,2004,12
1722,Mercedes-Benz,28000.0,other,12,Petrol,yes,2013,3
1727,BMW,4200.0,sedan,277,Petrol,yes,1991,25
1731,BMW,10800.0,sedan,288,Gas,yes,2002,14
1736,BMW,7000.0,sedan,280,Petrol,yes,2001,15
1738,Mercedes-Benz,7450.0,sedan,219,Petrol,yes,2000,16
1739,Toyota,10500.0,sedan,82,Petrol,yes,2010,6
1740,Toyota,28900.0,crossover,83,Petrol,yes,2012,4
1741,Toyota,10500.0,sedan,124,Petrol,yes,2008,8
1743,BMW,2250.0,sedan,350,Diesel,yes,1998,18
1744,Toyota,14100.0,hatch,67,Petrol,yes,2012,4
1746,Toyota,13300.0,sedan,158,Gas,yes,2009,7
1747,Mercedes-Benz,11200.0,other,198,Petrol,yes,2004,12
1748,Mercedes-Benz,11200.0,sedan,198,Petrol,yes,2004,12
1749,BMW,3900.0,sedan,380,Gas,yes,1989,27
1753,Toyota,18900.0,crossover,161,Gas,yes,2005,11
1760,BMW,10000.0,sedan,274,Gas,yes,1998,18
1761,BMW,2600.0,sedan,270,Diesel,no,1998,18
1762,BMW,4500.0,sedan,140,Diesel,no,2000,16
1767,BMW,1700.0,sedan,200,Diesel,no,2003,13
1768,BMW,50499.0,sedan,128,Diesel,yes,2013,3
1769,BMW,18500.0,sedan,79,Diesel,no,2012,4
1772,Volkswagen,14899.0,van,158,Diesel,yes,2012,4
1774,Toyota,23200.0,crossover,160,Petrol,yes,2008,8
1775,Volkswagen,2600.0,sedan,330,Petrol,no,1999,17
1781,Volkswagen,28500.0,other,38,Diesel,yes,2015,1
1782,BMW,3500.0,sedan,300,Diesel,no,1999,17
1784,Toyota,30990.0,crossover,68,Gas,yes,2012,4
1786,Mercedes-Benz,199999.0,crossover,0,Petrol,yes,2016,0
1787,Toyota,18600.0,hatch,73,Petrol,yes,2013,3
1788,Mercedes-Benz,109999.0,van,0,Diesel,yes,2016,0
1792,Toyota,17900.0,crossover,133,Gas,yes,2007,9
1795,BMW,12000.0,sedan,237,Diesel,yes,2003,13
1798,Volkswagen,9800.0,other,117,Diesel,yes,2014,2
1800,BMW,19990.0,sedan,1,Diesel,yes,2008,8
1802,Volkswagen,11900.0,other,112,Diesel,yes,2011,5
1806,BMW,3500.0,sedan,185,Diesel,no,2002,14
1807,BMW,9700.0,sedan,267,Diesel,yes,2002,14
1814,BMW,2500.0,sedan,290,Diesel,no,1999,17
1816,Toyota,16200.0,crossover,219,Petrol,yes,2006,10
1822,Mercedes-Benz,6800.0,sedan,286,Other,yes,2000,16
1824,Mercedes-Benz,16800.0,van,116,Diesel,yes,2013,3
1825,Volkswagen,6800.0,vagon,160,Petrol,yes,2001,15
1826,BMW,7500.0,sedan,275,Gas,yes,1998,18
1828,BMW,4000.0,sedan,380,Petrol,yes,1991,25
1830,BMW,27900.0,sedan,170,Petrol,yes,2011,5
1831,Mercedes-Benz,43500.0,other,51,Diesel,yes,2014,2
1833,Mercedes-Benz,86000.0,crossover,3,Diesel,yes,2016,0
1837,Mercedes-Benz,9999.0,van,127,Diesel,yes,2005,11
1838,BMW,17900.0,sedan,69,Petrol,yes,2008,8
1840,BMW,2500.0,sedan,242,Diesel,no,2001,15
1841,VAZ,3000.0,hatch,112,Petrol,yes,2007,9
1848,Volkswagen,7300.0,van,214,Diesel,yes,2001,15
1852,BMW,12900.0,sedan,121,Petrol,yes,2007,9
1855,Mercedes-Benz,28500.0,other,65,Petrol,yes,2011,5
1857,BMW,27500.0,sedan,100,Petrol,yes,2012,4
1864,Volkswagen,28000.0,crossover,132,Diesel,yes,2011,5
1874,BMW,2899.0,sedan,260,Diesel,no,2000,16
1875,BMW,15500.0,sedan,216,Diesel,yes,2008,8
1877,BMW,13700.0,sedan,276,Diesel,yes,2004,12
1878,BMW,9800.0,sedan,350,Diesel,yes,2001,15
1879,Volkswagen,8200.0,sedan,258,Diesel,yes,2004,12
1885,Volkswagen,2999.0,vagon,239,Diesel,no,2003,13
1888,Mercedes-Benz,15250.0,sedan,210,Diesel,yes,2006,10
1889,Volkswagen,20500.0,hatch,800,Diesel,yes,2013,3
1890,Mercedes-Benz,6700.0,van,1,Diesel,yes,2004,12
1891,Mercedes-Benz,295000.0,sedan,29,Petrol,yes,2011,5
1895,Volkswagen,12900.0,van,180,Diesel,yes,2012,4
1898,Mercedes-Benz,9999.0,sedan,80,Petrol,yes,2002,14
1902,Mercedes-Benz,33500.0,van,0,Diesel,yes,2015,1
1905,Mercedes-Benz,8800.0,sedan,330,Petrol,yes,2000,16
1906,BMW,7000.0,sedan,286,Petrol,yes,2001,15
1907,BMW,7000.0,other,226,Petrol,yes,1999,17
1908,Volkswagen,45000.0,sedan,90,Diesel,yes,2011,5
1910,Toyota,64000.0,crossover,128,Diesel,yes,2013,3
1915,Mercedes-Benz,4000.0,sedan,460,Petrol,yes,1991,25
1918,VAZ,4999.0,vagon,58,Petrol,yes,2011,5
1919,Volkswagen,5200.0,van,442,Diesel,yes,1992,24
1922,Volkswagen,12700.0,van,213,Diesel,yes,2012,4
1926,Toyota,24500.0,crossover,260,Gas,yes,2003,13
1929,Mercedes-Benz,39900.0,crossover,126,Petrol,yes,2010,6
1933,Volkswagen,21000.0,hatch,22,Other,yes,2014,2
1936,Toyota,25800.0,sedan,58,Petrol,yes,2015,1
1940,Toyota,23400.0,sedan,69,Gas,yes,2014,2
1942,Toyota,45500.0,crossover,65,Gas,yes,2010,6
1947,Toyota,28500.0,sedan,16,Petrol,yes,2015,1
1948,Volkswagen,16800.0,vagon,149,Gas,yes,2013,3
1949,Volkswagen,23999.0,sedan,0,Diesel,yes,2016,0
1951,BMW,2999.0,sedan,210,Other,no,1999,17
1952,Mercedes-Benz,29500.0,crossover,180,Diesel,yes,2008,8
1956,Volkswagen,55555.0,van,63,Diesel,yes,2013,3
1958,Volkswagen,55555.0,van,50,Diesel,yes,2013,3
1959,Volkswagen,55555.0,van,53,Diesel,yes,2013,3
1961,Mercedes-Benz,115000.0,sedan,49,Petrol,yes,2014,2
1963,Toyota,4350.0,sedan,35,Gas,yes,1999,17
1965,Toyota,26250.0,sedan,17,Petrol,yes,2015,1
1971,BMW,6900.0,sedan,280,Gas,yes,2000,16
1972,Toyota,24000.0,sedan,51,Gas,yes,2014,2
1978,Volkswagen,18700.0,vagon,196,Diesel,yes,2011,5
1979,Volkswagen,17999.0,sedan,80,Petrol,yes,2012,4
1982,Toyota,12300.0,sedan,135,Petrol,yes,2006,10
1984,Mercedes-Benz,3799.0,van,350,Diesel,yes,2000,16
1985,Toyota,10900.0,sedan,156,Gas,yes,2005,11
1986,Toyota,27400.0,crossover,52,Gas,yes,2012,4
1988,BMW,8200.0,sedan,241,Petrol,yes,1998,18
1990,Toyota,25500.0,sedan,58,Petrol,yes,2015,1
1993,Volkswagen,69990.0,van,1,Diesel,yes,2015,1
1994,Volkswagen,69990.0,van,1,Diesel,yes,2015,1
1998,Volkswagen,9000.0,sedan,130,Petrol,yes,2012,4
1999,Volkswagen,9999.0,hatch,118,Diesel,yes,2011,5
2002,BMW,32500.0,vagon,65,Petrol,yes,2014,2
2003,Toyota,9999.0,sedan,250,Petrol,yes,2003,13
2008,Toyota,15600.0,sedan,165,Gas,yes,2008,8
2011,BMW,19990.0,other,164,Gas,yes,2004,12
2015,Toyota,20999.0,sedan,77,Gas,yes,2012,4
2018,Toyota,22800.0,other,55,Petrol,yes,2013,3
2019,Toyota,14900.0,sedan,149,Gas,yes,2008,8
2022,Mercedes-Benz,199999.0,crossover,0,Petrol,yes,2016,0
2023,Volkswagen,10500.0,sedan,100,Petrol,yes,2008,8
2026,Volkswagen,1650.0,sedan,210,Petrol,no,1998,18
2028,Toyota,20900.0,crossover,69,Petrol,yes,2008,8
2029,Mercedes-Benz,7999.0,van,255,Diesel,yes,2004,12
2030,BMW,47900.0,crossover,178,Diesel,yes,2012,4
2034,Volkswagen,7500.0,van,317,Diesel,yes,2008,8
2035,Toyota,20800.0,crossover,70,Petrol,yes,2008,8
2036,Volkswagen,25200.0,crossover,78,Diesel,yes,2012,4
2039,Mercedes-Benz,3150.0,vagon,220,Other,no,2001,15
2044,Volkswagen,23999.0,sedan,80,Petrol,yes,2012,4
2045,Toyota,32900.0,crossover,82,Petrol,yes,2013,3
2047,Mercedes-Benz,23500.0,van,170,Diesel,yes,2011,5
2050,Volkswagen,4700.0,hatch,160,Diesel,no,2006,10
2051,Toyota,25000.0,crossover,115,Petrol,yes,2007,9
2053,VAZ,1700.0,other,60,Other,yes,1983,33
2056,Volkswagen,8650.0,van,238,Diesel,yes,2002,14
2057,Mercedes-Benz,16800.0,van,116,Other,yes,2013,3
2060,Volkswagen,9300.0,van,220,Diesel,yes,2003,13
2062,BMW,3500.0,sedan,334,Diesel,no,1999,17
2067,Volkswagen,11300.0,van,165,Diesel,yes,2010,6
2068,BMW,17500.0,vagon,125,Diesel,yes,2006,10
2070,Mercedes-Benz,2499.0,sedan,300,Diesel,no,1999,17
2072,Toyota,22999.0,crossover,152,Gas,yes,2008,8
2073,BMW,58000.0,crossover,64,Diesel,yes,2015,1
2076,Toyota,2499.0,vagon,254,Diesel,no,2000,16
2077,Mercedes-Benz,109999.0,crossover,0,Diesel,yes,2016,0
2078,BMW,4000.0,sedan,230,Diesel,no,2003,13
2082,Mercedes-Benz,107999.0,crossover,0,Diesel,yes,2016,0
2084,Toyota,9900.0,sedan,130,Gas,yes,2006,10
2085,Volkswagen,32000.0,sedan,144,Petrol,yes,2013,3
2091,Toyota,14000.0,sedan,25,Petrol,yes,2014,2
2094,Volkswagen,13900.0,other,170,Diesel,yes,2006,10
2095,Volkswagen,6200.0,van,180,Diesel,yes,2005,11
2097,BMW,69999.0,crossover,71,Petrol,yes,2011,5
2099,Volkswagen,16800.0,other,164,Diesel,yes,2010,6
2103,Mercedes-Benz,69900.0,sedan,76,Petrol,yes,2010,6
2106,Volkswagen,9000.0,sedan,223,Diesel,yes,2007,9
2109,Toyota,13000.0,crossover,149,Petrol,yes,2006,10
2110,Volkswagen,1850.0,other,200,Petrol,no,1999,17
2113,Volkswagen,9200.0,vagon,107,Petrol,yes,2010,6
2115,Toyota,15700.0,sedan,108,Petrol,yes,2008,8
2121,Volkswagen,17777.0,van,250,Diesel,yes,2010,6
2122,Volkswagen,3950.0,hatch,288,Gas,yes,1996,20
2127,Toyota,16672.5,hatch,1,Petrol,yes,2016,0
2130,BMW,12900.0,vagon,260,Diesel,yes,2004,12
2132,BMW,77777.0,crossover,1,Diesel,yes,2014,2
2133,Mercedes-Benz,70000.0,other,21,Petrol,yes,2008,8
2137,Mercedes-Benz,109000.0,crossover,0,Diesel,yes,2016,0
2138,BMW,17000.0,vagon,158,Diesel,yes,2010,6
2139,Mercedes-Benz,99000.0,crossover,0,Diesel,yes,2016,0
2142,Volkswagen,28900.0,crossover,1,Petrol,yes,2016,0
2143,BMW,13700.0,sedan,254,Diesel,yes,2003,13
2145,Mercedes-Benz,177000.0,crossover,0,Petrol,yes,2016,0
2147,Mercedes-Benz,13900.0,other,168,Petrol,yes,2002,14
2152,BMW,15300.0,sedan,250,Petrol,yes,2006,10
2154,Volkswagen,11500.0,van,163,Diesel,yes,2008,8
2155,VAZ,2100.0,sedan,85,Other,yes,2016,0
2159,Toyota,15000.0,crossover,184,Gas,yes,2005,11
2163,Volkswagen,8757.0,sedan,32,Other,no,2015,1
2164,Mercedes-Benz,6500.0,van,450,Diesel,yes,1996,20
2165,Mercedes-Benz,295000.0,sedan,29,Petrol,yes,2011,5
2166,Mercedes-Benz,4300.0,van,300,Diesel,no,2005,11
2168,Mercedes-Benz,12600.0,sedan,300,Diesel,yes,2003,13
2169,BMW,29500.0,sedan,230,Diesel,yes,2011,5
2170,VAZ,5700.0,hatch,120,Petrol,yes,2012,4
2171,Volkswagen,55500.0,crossover,36,Diesel,yes,2015,1
2173,Volkswagen,15000.0,van,275,Diesel,yes,2008,8
2174,Mercedes-Benz,12500.0,van,238,Diesel,yes,2008,8
2175,Volkswagen,9500.0,van,212,Diesel,yes,2006,10
2177,Volkswagen,10500.0,van,246,Diesel,yes,2006,10
2178,Volkswagen,18200.0,hatch,23,Petrol,yes,2013,3
2180,Mercedes-Benz,38700.0,sedan,117,Petrol,yes,2010,6
2181,Volkswagen,13700.0,other,103,Diesel,yes,2013,3
2187,Mercedes-Benz,24800.0,vagon,118,Diesel,yes,2010,6
2188,Volkswagen,8800.0,van,260,Diesel,yes,2008,8
2190,Volkswagen,9950.0,hatch,95,Petrol,yes,2010,6
2192,BMW,16999.0,vagon,213,Diesel,yes,2007,9
2194,BMW,11900.0,sedan,160,Petrol,yes,2005,11
2199,Mercedes-Benz,12800.0,other,116,Diesel,yes,2013,3
2201,Volkswagen,17000.0,van,157,Diesel,yes,2010,6
2202,Volkswagen,27000.0,sedan,85,Diesel,yes,2013,3
2206,Volkswagen,24000.0,sedan,67,Petrol,yes,2012,4
2207,Volkswagen,9800.0,hatch,98,Gas,yes,2010,6
2208,Mercedes-Benz,14500.0,sedan,138,Petrol,yes,2007,9
2210,Mercedes-Benz,12800.0,van,116,Diesel,yes,2012,4
2211,VAZ,1900.0,hatch,40,Petrol,yes,1990,26
2213,Toyota,10200.0,sedan,180,Petrol,yes,2003,13
2215,Volkswagen,9000.0,hatch,95,Gas,yes,2005,11
2216,Volkswagen,11500.0,sedan,169,Petrol,yes,2008,8
2217,BMW,6800.0,crossover,242,Diesel,no,2005,11
2218,Mercedes-Benz,9500.0,van,248,Diesel,yes,2005,11
2219,Mercedes-Benz,32800.0,crossover,109,Diesel,yes,2011,5
2220,Volkswagen,9750.0,van,159,Diesel,yes,2009,7
2221,Volkswagen,10250.0,sedan,144,Diesel,yes,2008,8
